Customer_ID,Age,Income,Expenses,Credit_Score,Loan_Amount,Loan_Type,Savings,EMI,EMI_Ratio,Salary_Delay_Days,Late_Payments,Credit_Utilization,Employment_Type,Transaction_Frequency,Existing_Loans,Account_Balance,Risk
CUST100047,60,60111,32642,673,206425,Credit Card,237959,5298,0.088,1,1,0.492,Business Owner,10,1,115053,Low
CUST100048,50,30952,13730,692,479106,Personal Loan,128829,13682,0.442,1,0,0.307,Self-Employed,19,0,17257,Low
CUST100049,55,81288,32734,731,798888,Auto Loan,72366,18119,0.223,0,0,0.629,Business Owner,30,2,6081,Low
CUST100050,54,25793,6502,534,299210,Credit Card,70087,5448,0.211,5,0,0.673,Contract/Freelance,49,2,28718,Medium
CUST100051,29,27136,9039,658,1311111,Auto Loan,27591,37926,1.398,0,2,0.453,Salaried,52,4,11934,High
CUST100052,37,42448,35145,714,2462883,Home Loan,63940,71278,1.4,2,0,0.421,Business Owner,32,2,34587,Medium
CUST100053,41,71610,32804,721,3341791,Home Loan,145568,60528,0.845,0,0,0.723,Self-Employed,57,4,9679,High
CUST100054,42,37807,30869,781,106738,Personal Loan,65960,3212,0.085,0,0,0.537,Salaried,58,2,34814,Low
CUST100055,22,24958,15136,745,656201,Education Loan,83959,19909,0.798,0,0,0.267,Contract/Freelance,4,0,19780,Low
CUST100056,45,60885,33063,675,1347924,Auto Loan,49674,30314,0.498,1,0,0.618,Salaried,36,0,12371,Medium
CUST100057,27,115792,39359,737,1677438,Auto Loan,342176,30599,0.264,1,0,0.307,Self-Employed,58,3,138434,Low
CUST100058,53,44106,24287,663,3064168,Home Loan,124628,92735,1.4,2,1,0.486,Salaried,18,0,65177,High
CUST100059,51,69929,56986,692,3575068,Home Loan,255156,67881,0.971,4,1,0.061,Salaried,22,2,70754,Medium
CUST100060,61,86365,66334,748,424151,Personal Loan,76581,9014,0.104,0,0,0.548,Business Owner,21,3,4112,Low
CUST100061,53,30560,17981,676,592514,Personal Loan,55938,15166,0.496,0,0,0.329,Salaried,43,0,22735,Medium
CUST100062,37,40619,15808,711,2099069,Home Loan,133572,61779,1.4,0,0,0.389,Salaried,28,0,47346,Medium
CUST100063,63,22536,9375,762,675300,Personal Loan,75422,19547,0.867,0,0,0.149,Salaried,46,0,44070,Low
CUST100064,39,36599,15761,741,311159,Personal Loan,84123,8568,0.234,0,0,0.438,Salaried,24,1,28636,Low
CUST100065,35,40877,29797,785,501879,Auto Loan,95941,14856,0.363,0,0,0.413,Business Owner,54,2,38060,Low
CUST100066,60,45198,35184,878,2846907,Home Loan,197056,78563,1.4,0,0,0.171,Business Owner,18,2,104543,Medium
CUST100067,37,28640,16537,740,2293242,Home Loan,51693,61752,1.4,0,0,0.413,Salaried,26,0,10263,Medium
CUST100068,24,38798,19693,641,172011,Credit Card,42696,3500,0.09,4,0,0.425,Self-Employed,51,2,2469,Low
CUST100069,41,50996,39105,724,358413,Auto Loan,219863,8659,0.17,0,0,0.638,Salaried,46,4,101591,Low
CUST100070,56,41837,17279,720,367351,Personal Loan,156405,8934,0.214,0,0,0.292,Self-Employed,24,1,66568,Low
CUST100071,29,18000,10031,732,184858,Credit Card,26069,3375,0.188,2,0,0.498,Salaried,42,1,13932,Low
CUST100072,41,28688,17638,807,4860774,Home Loan,112716,115090,1.4,0,0,0.135,Salaried,29,0,20084,Medium
CUST100073,26,20257,8694,537,1052480,Auto Loan,30572,22291,1.1,3,0,0.556,Salaried,22,2,8756,High
CUST100074,51,49273,22713,809,224617,Credit Card,187720,4325,0.088,0,0,0.464,Self-Employed,20,0,14400,Low
CUST100075,41,50337,22656,837,275806,Personal Loan,151728,7074,0.141,1,0,0.473,Salaried,50,3,67067,Low
CUST100076,35,45046,33710,728,967272,Auto Loan,109476,20620,0.458,1,0,0.393,Salaried,49,2,16963,Low
CUST100077,30,38016,31098,730,76920,Personal Loan,160134,1590,0.042,0,0,0.725,Business Owner,53,2,56801,Low
CUST100078,45,49335,27927,659,336036,Personal Loan,184388,9750,0.198,2,1,0.396,Self-Employed,26,0,60399,Low
CUST100079,50,32482,16645,681,3633161,Home Loan,33122,106602,1.4,0,1,0.533,Salaried,35,1,9101,High
CUST100080,62,32465,15129,739,408461,Personal Loan,107858,11131,0.343,0,0,0.351,Business Owner,9,2,8280,Low
CUST100081,40,75658,41630,734,157176,Personal Loan,276758,3247,0.043,0,0,0.26,Business Owner,49,3,106090,Low
CUST100082,28,57995,27430,741,2763014,Home Loan,154528,74208,1.28,0,0,0.192,Salaried,13,4,51201,Medium
CUST100083,57,67664,36296,733,2919148,Home Loan,108552,81697,1.207,1,0,0.247,Self-Employed,38,0,19889,Medium
CUST100084,48,30523,18553,756,2719436,Home Loan,43889,57832,1.4,0,0,0.509,Salaried,52,4,18176,Medium
CUST100085,51,75059,37023,747,438813,Personal Loan,330003,8715,0.116,0,0,0.641,Self-Employed,48,2,192886,Low
CUST100086,25,32141,16824,593,2957153,Home Loan,72226,71177,1.4,6,3,0.613,Salaried,49,2,40584,High
CUST100087,34,59242,31045,751,3311246,Home Loan,152566,79272,1.338,1,0,0.34,Self-Employed,38,4,82184,Medium
CUST100088,54,31891,16122,838,2651626,Home Loan,92250,53420,1.4,0,0,0.287,Salaried,57,1,42750,Medium
CUST100089,57,36287,17715,678,205903,Credit Card,32750,4259,0.117,2,0,0.478,Salaried,42,3,16060,Low
CUST100090,40,18000,11821,807,909176,Education Loan,14853,22725,1.262,0,0,0.213,Contract/Freelance,40,2,6567,Medium
CUST100091,56,35036,10584,602,312228,Personal Loan,45286,7926,0.226,2,4,0.658,Salaried,6,1,12465,Medium
CUST100092,58,56449,43488,677,6392660,Home Loan,42976,163205,1.4,2,0,0.515,Business Owner,39,1,6599,High
CUST100093,38,28366,16140,626,109760,Credit Card,116127,3485,0.123,2,0,0.308,Contract/Freelance,9,4,54161,Low
CUST100094,60,119418,75878,797,1149641,Auto Loan,130416,21331,0.179,0,1,0.668,Business Owner,25,3,50730,Low
CUST100095,33,23787,15497,819,433647,Education Loan,33451,12579,0.529,1,0,0.183,Salaried,27,4,16531,Medium
CUST100096,31,42045,18957,672,190584,Credit Card,111387,4369,0.104,2,0,0.461,Business Owner,26,3,63990,Low
CUST100097,51,26710,11271,780,186488,Credit Card,109105,5322,0.199,0,0,0.55,Salaried,48,1,29069,Low
CUST100098,49,31142,12628,820,226062,Personal Loan,21679,6397,0.205,1,0,0.532,Salaried,42,4,11861,Low
CUST100099,27,86184,44420,677,334001,Personal Loan,117546,8910,0.103,2,1,0.336,Business Owner,7,4,10336,Low
CUST100100,57,85856,55625,691,1405652,Auto Loan,289283,37722,0.439,0,0,0.365,Self-Employed,25,3,55119,Low
CUST100101,29,29280,13711,742,607745,Auto Loan,75446,16586,0.566,0,0,0.233,Salaried,4,2,23164,Low
CUST100102,56,28988,18411,608,171098,Credit Card,83430,4871,0.168,3,1,0.534,Salaried,49,2,47275,Low
CUST100103,21,32190,8048,689,726323,Education Loan,18278,14412,0.448,1,0,0.588,Business Owner,16,4,10692,Medium
CUST100104,56,79470,39419,862,344820,Personal Loan,315275,7949,0.1,0,0,0.056,Self-Employed,27,1,104361,Low
CUST100105,55,66466,47417,637,1261134,Home Loan,187099,37567,0.565,4,3,0.575,Salaried,52,2,69338,Medium
CUST100106,55,51659,27176,753,193503,Credit Card,198240,4967,0.096,0,0,0.311,Business Owner,45,4,58918,Low
CUST100107,50,21413,9292,725,150610,Credit Card,93253,3000,0.14,0,0,0.4,Salaried,53,0,50454,Low
CUST100108,41,22292,10211,666,207952,Credit Card,76431,6543,0.294,2,2,0.264,Salaried,23,2,39704,Low
CUST100109,52,47672,11918,699,918948,Auto Loan,29749,29250,0.614,1,0,0.323,Self-Employed,20,0,5630,Medium
CUST100110,33,43682,17837,829,664667,Education Loan,146165,16735,0.383,0,0,0.759,Contract/Freelance,31,4,12716,Low
CUST100111,55,18000,12564,727,3617246,Home Loan,49570,92112,1.4,0,0,0.354,Salaried,42,2,4474,High
CUST100112,45,34732,16270,740,229027,Personal Loan,31751,5059,0.146,0,0,0.405,Salaried,53,2,17316,Low
CUST100113,41,83136,40318,816,540868,Personal Loan,131497,13644,0.164,0,0,0.235,Salaried,43,0,59209,Low
CUST100114,43,49130,12282,655,2779536,Home Loan,57746,87730,1.4,0,3,0.928,Business Owner,54,0,8350,High
CUST100115,46,78459,25239,591,130966,Credit Card,329478,2824,0.036,4,1,0.59,Salaried,4,3,143788,Low
CUST100116,22,53748,38516,830,4647372,Home Loan,197854,103472,1.4,0,1,0.396,Salaried,52,4,54436,Medium
CUST100117,27,20943,13329,692,923584,Auto Loan,69183,28229,1.348,0,1,0.604,Contract/Freelance,24,1,25689,High
CUST100118,31,35182,12960,756,2935176,Home Loan,125012,68629,1.4,1,0,0.464,Salaried,12,3,47402,Medium
CUST100119,26,41664,19237,615,171726,Credit Card,121033,5429,0.13,3,1,0.459,Self-Employed,12,0,51441,Low
CUST100120,40,26144,14272,713,426683,Personal Loan,102512,9769,0.374,0,0,0.402,Salaried,25,0,21078,Low
CUST100121,50,35020,13397,587,814794,Auto Loan,49533,14719,0.42,0,1,0.232,Business Owner,23,3,27678,Low
CUST100122,49,79067,21302,685,462985,Personal Loan,118760,14516,0.184,0,0,0.378,Salaried,8,1,63289,Low
CUST100123,41,25853,13643,625,1776979,Home Loan,74121,37881,1.4,3,4,0.392,Salaried,18,3,4205,High
CUST100124,58,65205,41090,605,3493227,Home Loan,243902,96824,1.4,2,3,0.554,Salaried,31,3,104283,High
CUST100125,45,36275,22957,654,1088080,Auto Loan,139410,20307,0.56,2,2,0.426,Self-Employed,8,0,48390,Low
CUST100126,24,53560,36021,485,1034984,Auto Loan,235932,29472,0.55,9,4,0.7,Business Owner,19,3,77623,Medium
CUST100127,54,51680,17184,581,140161,Education Loan,183420,2955,0.057,3,0,0.531,Salaried,59,0,20524,Low
CUST100128,46,30658,17110,747,621200,Education Loan,43871,18141,0.592,0,1,0.251,Salaried,56,2,15180,Medium
CUST100129,48,69959,35848,710,201280,Personal Loan,99524,6347,0.091,1,0,0.695,Business Owner,32,3,45319,Low
CUST100130,45,18000,9680,589,507507,Personal Loan,41082,9456,0.525,2,1,0.438,Salaried,29,2,2383,Medium
CUST100131,45,48916,25453,727,302142,Personal Loan,151669,6995,0.143,0,0,0.515,Salaried,12,0,42940,Low
CUST100132,24,18000,8236,605,493901,Personal Loan,45935,13840,0.769,1,0,0.261,Self-Employed,55,3,17987,Medium
CUST100133,45,36240,9060,741,200912,Personal Loan,27901,6419,0.177,0,0,0.545,Salaried,17,0,3675,Low
CUST100134,55,58948,42010,670,170509,Credit Card,143102,3936,0.067,1,0,0.159,Salaried,13,4,84950,Low
CUST100135,34,53105,31661,652,651806,Education Loan,200121,20812,0.392,4,1,0.814,Salaried,6,4,85742,Medium
CUST100136,47,22375,7657,672,688598,Personal Loan,32696,21063,0.941,3,1,0.575,Salaried,53,4,13941,Medium
CUST100137,22,23710,14611,898,211841,Credit Card,72081,5946,0.251,0,0,0.361,Salaried,20,1,21508,Low
CUST100138,36,32384,15783,616,208479,Credit Card,51130,4867,0.15,4,0,0.592,Self-Employed,27,0,4939,Low
CUST100139,40,48007,23588,699,5471145,Home Loan,130708,139606,1.4,2,1,0.206,Self-Employed,7,4,71415,Medium
CUST100140,64,18000,7964,746,164898,Credit Card,59470,4631,0.257,0,0,0.366,Salaried,20,3,4817,Low
CUST100141,30,53861,33672,598,627362,Education Loan,71575,17315,0.321,2,1,0.635,Business Owner,17,2,34217,Medium
CUST100142,33,46173,20225,544,601423,Education Loan,159675,13254,0.287,4,4,0.64,Salaried,59,1,22808,Low
CUST100143,38,47702,18911,629,167210,Credit Card,152936,4314,0.09,0,0,0.479,Business Owner,28,4,68089,Low
CUST100144,64,50838,36016,745,97463,Home Loan,89019,2894,0.057,0,0,0.46,Salaried,16,1,28388,Low
CUST100145,58,59921,31456,651,350285,Personal Loan,244472,8635,0.144,2,1,0.661,Business Owner,41,2,73239,Low
CUST100146,22,31453,16650,660,701595,Education Loan,113925,18191,0.578,1,0,0.59,Salaried,17,3,68288,Low
CUST100147,31,18000,11645,757,330908,Personal Loan,46522,7474,0.415,0,0,0.062,Salaried,50,3,27847,Low
CUST100148,57,42618,19457,611,1485384,Home Loan,35404,30066,0.705,4,4,0.491,Salaried,55,1,2832,High
CUST100149,23,26137,12662,672,331645,Personal Loan,59135,6276,0.24,2,1,0.455,Salaried,7,4,32115,Low
CUST100150,58,30938,18340,551,1482257,Home Loan,56289,35107,1.135,6,0,0.308,Salaried,30,2,2989,High
CUST100151,33,54771,18305,707,567285,Personal Loan,84883,15229,0.278,1,0,0.239,Self-Employed,17,1,32297,Low
CUST100152,61,102529,59565,700,136489,Credit Card,315204,3909,0.038,0,0,0.703,Business Owner,51,0,157969,Low
CUST100153,33,39453,17525,748,236346,Auto Loan,165187,4532,0.115,0,0,0.271,Salaried,11,0,37482,Low
CUST100154,40,69524,46565,583,2968708,Home Loan,75518,66674,0.959,4,2,0.435,Business Owner,26,0,32928,High
CUST100155,50,28285,17721,664,4202846,Home Loan,98051,123188,1.4,1,1,0.313,Business Owner,23,2,37538,Medium
CUST100156,26,60512,36794,571,902383,Auto Loan,180741,17661,0.292,5,6,0.594,Business Owner,30,4,54694,Medium
CUST100157,45,42974,13968,659,102023,Credit Card,136147,3255,0.076,2,1,0.511,Self-Employed,13,3,70536,Low
CUST100158,43,76762,41108,806,495699,Education Loan,297894,13313,0.173,0,0,0.749,Self-Employed,10,0,126862,Low
CUST100159,55,31470,12122,653,134941,Credit Card,62997,4205,0.134,2,1,0.368,Salaried,17,2,30709,Low
CUST100160,64,39600,21576,564,2707577,Home Loan,111601,76418,1.4,4,1,0.618,Self-Employed,42,1,10256,High
CUST100161,50,54937,13734,622,83873,Credit Card,88300,2642,0.048,3,2,0.146,Contract/Freelance,55,4,14483,Low
CUST100162,39,38507,12872,543,829890,Auto Loan,63030,22668,0.589,6,1,0.283,Salaried,58,1,23948,Medium
CUST100163,38,24368,17459,570,453214,Auto Loan,62215,9859,0.405,3,0,0.76,Salaried,39,1,31328,Medium
CUST100164,39,126530,76129,737,1132341,Auto Loan,66960,33069,0.261,0,0,0.608,Salaried,4,3,31748,Medium
CUST100165,56,20997,10508,557,4399639,Home Loan,31337,93118,1.4,2,1,0.609,Contract/Freelance,52,0,9636,High
CUST100166,35,38983,16481,707,2076430,Home Loan,43135,53800,1.38,1,0,0.631,Salaried,55,1,21626,High
CUST100167,28,51602,20548,682,636798,Auto Loan,50543,14788,0.287,1,0,0.252,Self-Employed,34,1,27169,Medium
CUST100168,35,61116,35326,635,2726240,Home Loan,124586,79572,1.302,2,1,0.774,Business Owner,34,2,46850,High
CUST100169,21,31323,15721,699,148345,Credit Card,28737,4248,0.136,1,0,0.248,Contract/Freelance,49,1,3802,Low
CUST100170,25,36933,28310,600,3487669,Home Loan,41260,104960,1.4,2,0,0.558,Salaried,23,4,15811,High
CUST100171,24,48746,25549,751,987758,Auto Loan,154762,21195,0.435,1,0,0.899,Business Owner,23,1,34445,Medium
CUST100172,54,32792,18305,621,173085,Credit Card,101831,5533,0.169,4,0,0.327,Business Owner,45,1,25133,Low
CUST100173,52,105620,37559,647,540349,Personal Loan,452061,15819,0.15,3,1,0.711,Salaried,17,1,244786,Low
CUST100174,51,49075,24513,637,357395,Personal Loan,205187,8368,0.171,2,1,0.649,Business Owner,50,2,121456,Low
CUST100175,41,52503,30178,739,462512,Auto Loan,209789,9152,0.174,0,0,0.311,Salaried,34,1,92383,Low
CUST100176,52,37976,18905,726,152875,Personal Loan,123947,3500,0.092,0,0,0.792,Self-Employed,21,3,27568,Low
CUST100177,28,34213,16491,457,550384,Personal Loan,53590,10725,0.313,6,7,0.431,Salaried,56,0,10929,High
CUST100178,60,32697,19480,702,176757,Credit Card,39649,4704,0.144,2,0,0.425,Salaried,12,0,2902,Low
CUST100179,43,19982,15228,532,375290,Personal Loan,85876,7349,0.368,6,5,0.661,Salaried,50,2,7115,Medium
CUST100180,62,37336,21293,651,983581,Auto Loan,161983,23633,0.633,1,0,0.449,Salaried,33,2,14753,Low
CUST100181,27,33418,23733,671,369633,Personal Loan,84138,10108,0.302,3,1,1.0,Salaried,17,3,35508,Medium
CUST100182,42,74794,47646,650,403066,Personal Loan,201469,9812,0.131,2,0,0.24,Self-Employed,38,0,31177,Low
CUST100183,51,23423,16438,723,2782701,Home Loan,12215,84436,1.4,0,0,0.709,Salaried,57,4,1160,High
CUST100184,42,30955,14383,741,890057,Education Loan,33875,19024,0.615,0,0,0.01,Salaried,13,2,20148,Low
CUST100185,40,29467,15353,614,693853,Auto Loan,79089,17578,0.597,2,1,0.01,Self-Employed,33,1,35014,Low
CUST100186,28,84495,44074,611,2188318,Home Loan,103690,67366,0.797,2,2,0.502,Self-Employed,43,3,39540,Medium
CUST100187,37,27140,17003,677,1306254,Home Loan,65541,29972,1.104,2,0,0.581,Salaried,27,3,23006,High
CUST100188,31,43937,29040,549,779277,Auto Loan,161673,19184,0.437,3,0,0.802,Contract/Freelance,16,4,93212,Medium
CUST100189,34,62104,35245,639,1227082,Auto Loan,229978,38113,0.614,3,0,0.764,Salaried,20,2,89326,Medium
CUST100190,51,50734,34131,795,293975,Personal Loan,200228,7347,0.145,0,0,0.436,Business Owner,27,3,13992,Low
CUST100191,48,21600,10176,552,181128,Personal Loan,31166,5452,0.252,3,1,0.622,Salaried,39,4,11661,Medium
CUST100192,47,23895,16104,651,3519007,Home Loan,53228,109675,1.4,1,2,0.51,Self-Employed,37,4,15269,High
CUST100193,36,50230,34770,630,656307,Auto Loan,151061,14167,0.282,3,2,0.755,Contract/Freelance,36,3,90565,Low
CUST100194,63,30725,19813,850,231284,Credit Card,86778,6708,0.218,0,0,0.178,Business Owner,24,1,27502,Low
CUST100195,24,52666,29956,634,1169693,Auto Loan,236802,31760,0.603,1,0,0.358,Self-Employed,50,0,113821,Low
CUST100196,36,46480,30206,639,471909,Auto Loan,74606,15013,0.323,0,0,0.628,Self-Employed,28,0,37312,Low
CUST100197,26,47558,20205,592,3005238,Home Loan,37350,78731,1.4,0,1,0.695,Salaried,55,1,2933,High
CUST100198,35,54585,31538,681,625307,Auto Loan,111978,18196,0.333,1,0,0.688,Self-Employed,21,2,64942,Low
CUST100199,63,35595,21075,703,504750,Auto Loan,91552,11528,0.324,2,0,0.419,Business Owner,45,3,30740,Low
CUST100200,37,21993,8003,605,343148,Personal Loan,45063,9090,0.413,3,2,0.407,Contract/Freelance,35,0,22813,Medium
CUST100201,60,55366,34130,764,836148,Education Loan,98411,24165,0.436,0,0,0.527,Salaried,14,3,39613,Low
CUST100202,42,30236,11344,703,3108488,Home Loan,46232,98032,1.4,2,1,0.234,Salaried,8,4,13778,High
CUST100203,51,18000,8822,752,696445,Auto Loan,39779,14992,0.833,0,1,0.7,Self-Employed,11,0,7981,Medium
CUST100204,41,53741,29857,652,193645,Auto Loan,175024,3699,0.069,3,1,0.375,Salaried,30,4,26847,Low
CUST100205,32,25177,11272,701,115045,Credit Card,27580,3643,0.145,2,0,0.383,Salaried,34,3,12181,Low
CUST100206,54,49524,27811,662,417596,Personal Loan,196221,11040,0.223,3,1,0.594,Salaried,41,0,18183,Low
CUST100207,63,82626,46214,804,79548,Credit Card,253206,1451,0.02,0,0,0.269,Self-Employed,12,0,46554,Low
CUST100208,32,40439,17598,690,507114,Personal Loan,37587,12820,0.317,0,0,0.233,Salaried,14,3,12741,Low
CUST100209,55,62824,39549,681,278505,Personal Loan,37322,8663,0.138,4,0,0.653,Salaried,38,4,6377,Low
CUST100210,32,43011,19055,641,160170,Credit Card,30341,5091,0.118,1,1,0.285,Salaried,36,3,10692,Low
CUST100211,52,110685,96331,636,301105,Personal Loan,95352,6793,0.061,1,2,0.523,Business Owner,13,4,23708,Medium
CUST100212,55,27374,14636,700,500046,Auto Loan,84152,14475,0.529,2,0,0.437,Self-Employed,36,1,16669,Low
CUST100213,40,39987,15436,750,3693132,Home Loan,170482,90193,1.4,1,0,0.058,Salaried,17,4,75646,Medium
CUST100214,53,54335,22396,622,513952,Education Loan,56140,12115,0.223,3,3,0.297,Salaried,21,4,10296,Medium
CUST100215,32,40523,28798,691,106266,Credit Card,66349,3041,0.075,1,0,0.503,Self-Employed,8,4,10512,Low
CUST100216,24,67407,33213,696,538713,Home Loan,267161,11733,0.174,1,0,0.658,Salaried,7,0,38289,Low
CUST100217,25,36348,13052,710,218391,Credit Card,91695,5235,0.144,2,0,0.289,Self-Employed,50,4,14808,Low
CUST100218,40,101846,68188,535,350753,Personal Loan,224930,7524,0.074,2,2,0.384,Salaried,57,2,12804,Low
CUST100219,60,88652,43601,601,1179204,Auto Loan,212138,23580,0.266,1,3,0.613,Contract/Freelance,37,1,94076,Medium
CUST100220,26,45567,29230,564,182560,Credit Card,41215,4256,0.093,3,0,0.668,Salaried,9,3,14878,Low
CUST100221,41,56612,38552,683,208088,Credit Card,78032,6540,0.116,0,0,0.613,Self-Employed,23,2,5951,Low
CUST100222,51,68614,40374,603,682167,Auto Loan,298338,16279,0.237,1,2,0.538,Salaried,23,1,94104,Low
CUST100223,29,19995,17704,638,77946,Credit Card,61459,2149,0.107,3,0,0.379,Contract/Freelance,26,0,31298,Low
CUST100224,52,18903,5832,578,1076901,Auto Loan,31098,23682,1.253,4,0,0.656,Contract/Freelance,14,4,9754,High
CUST100225,34,77707,33840,646,679620,Education Loan,333201,20467,0.263,2,2,0.454,Self-Employed,11,2,199896,Low
CUST100226,56,45401,23344,584,292870,Personal Loan,94887,7834,0.173,3,1,0.631,Salaried,55,3,10087,Low
CUST100227,46,36246,31409,744,4031839,Home Loan,38546,126222,1.4,0,0,0.311,Salaried,51,0,14942,High
CUST100228,45,54454,43657,721,166177,Credit Card,237488,3750,0.069,0,0,0.382,Business Owner,6,1,80627,Low
